comment_id,video_id,channel_id,publish_at,comment
Ugxn9Fr5BL5WwjWI57N4AaABAg,DVKARhqXiDo,UC7OUGIPx0HIB5HA2OSL-Zhg,2025-06-28T10:42:31Z,感謝大家比❤！<br>可以給我知道你覺得最有價值的重點是什麼嗎？
UgygL8Zb6phbxAOIVbB4AaABAg,zwJd8uyp92Y,UC7OUGIPx0HIB5HA2OSL-Zhg,2025-06-03T06:21:17Z,第一個Podcast 🎙️多多指教❤
Ugy1B8RHBaeAb4NeDnR4AaABAg,HI0jt6xhtSY,UC7OUGIPx0HIB5HA2OSL-Zhg,2023-01-18T10:41:15Z,今天是1/18/2023，我收到電郵通知，經核實符合入學要求，並將錄取入讀 2023年2月1日的「工商管理碩士課程」。好開心。又開始人生另一個學習旅程。
UgzK5jTs4xEZNALOIvN4AaABAg,PA4FIxR1MFg,UC7OUGIPx0HIB5HA2OSL-Zhg,2022-12-10T10:17:07Z,喜歡我選的歌，比個♥️我，等我知道您也喜歡聽。🎼🎧🎹
UgzWHuKvHl0uKHxghV94AaABAg,1EHT6kjgyB4,UC7OUGIPx0HIB5HA2OSL-Zhg,2022-08-01T12:10:01Z,"每次一分享保險知識，都有 一 個 Fans秒like,真想知是誰那麼支持！😆"
Ugw3AhacHjh_ySefI2V4AaABAg,J8jkmL4RNfs,UC7OUGIPx0HIB5HA2OSL-Zhg,2022-07-26T16:30:16Z,"按以下連結及電郵📧登記：<br><a href=""https://9channel.thinkific.com/courses/938"">https://9channel.thinkific.com/courses/938</a>"
UgyqC4qfNtLy-pHcPV94AaABAg,0FsibqdnpdA,UCett6gpN2rPnsQjmSZ_EPIg,2022-06-30T21:11:45Z,星爷回答的真心！也是每个爰国的香港人的想法和愿望
Ugyg99imjVQPe02OypV4AaABAg,0FsibqdnpdA,UCSu5rLdE2mDQRU7zWF-UxAA,2022-06-28T13:56:05Z,星爺講得好，我永遠都是中國人，支持星爺
Ugy6ktm_Jg6La3YJlbF4AaABAg,QzsbTKbLiEk,UCPw7xh5qIBllKMAWmt13gOA,2022-06-16T03:47:01Z,"加油, 永遠支持你!!"
UgyTGfvsNx8OqoYIIYp4AaABAg,QzsbTKbLiEk,UC1FM846QwunoiaqA8vde84Q,2022-06-13T05:02:21Z,多謝分享
